No.,브랜드,카테고리,할인 제공처,할인/혜택 유형,혜택 상세,대상·조건,한도·횟수,중복 적용,적용 기간,출처 URL,수집일,비고
60,올리브영,쇼핑/생활,브랜드 자체 (올리브 멤버스),등급제 멤버십,최근 6개월 누적 구매액 기준 5등급: 베이비(10만원 미만)/핑크(10~40만)/그린(40~70만)/블랙(70~100만)/골드(100만 이상). 매월 1일 갱신,올리브 멤버스 회원,?,?,상시,https://corp.oliveyoung.com/ko/news/87,2026-05-15,온·오프라인 구매금액 통합 산정
61,올리브영,쇼핑/생활,브랜드 자체 (올리브 멤버스),등급별 쿠폰팩,"멤버 등급에 따라 매달 최대 24,000원 상당 할인 쿠폰팩 자동 발급 (앱/홈페이지)",올리브 멤버스 회원,월 1회 자동 발급,?,상시,https://corp.oliveyoung.com/ko/news/87,2026-05-15,등급 진입/조정 시 자동 발급
62,올리브영,쇼핑/생활,브랜드 자체 (올리브 멤버스),라운지 이용권,올리브영N 성수 멤버스 라운지 이용 (동반 최대 3인),골드/블랙 올리브 등급,월 1회,?,상시,https://corp.oliveyoung.com/ko/news/87,2026-05-15,상위 등급 전용
63,올리브영,쇼핑/생활,CJ ONE,포인트 적립,올리브영 결제 시 CJ ONE 통합 회원 가입자에 한해 CJ ONE 포인트 적립,CJ ONE 통합 회원,?,쿠폰 할인과 별도 적립 가능,상시,https://www.cjone.com/cjmweb/join.do?coopco_cd=7030&brnd_cd=3000&mcht_no=3000,2026-05-15,올리브영 자체 멤버십과 통합 운영
64,올리브영,쇼핑/생활,통신사·카드사,(상시 제휴 미게재),올리브영 공식 페이지/통신사 멤버십 공식 페이지에 상시 청구할인·통신사 등급별 할인 정식 등재 없음,?,?,?,상시,https://www.oliveyoung.co.kr/store/main/getMembership.do,2026-05-15,?
65,다이소,쇼핑/생활,브랜드 자체 (다이소 멤버십),포인트 적립,결제금액의 0.1% 적립 (1포인트=1원). 다이소 매장+다이소몰 통합. 500원 이하 구매 시 적립 제외,다이소 멤버십 회원,결제건당,?,상시,https://www.daiso.co.kr/cs/faq?cid=21,2026-05-15,50P 단위 사용. 일부 매장 사용 불가
66,다이소,쇼핑/생활,브랜드 자체 (다이소 멤버십),포인트 사후적립,매장 구매 후 당일에 한해 영수증으로 사후적립 가능 (앱 바코드 스캔 또는 휴대폰번호),다이소 멤버십 회원,당일 한정,?,상시,https://www.daiso.co.kr/cs/faq?cid=21,2026-05-15,
67,다이소,쇼핑/생활,카드사 (BC카드),제휴카드 청구할인/적립,BC 참!좋은 다이소카드: 다이소 라이프서비스(다이소·헤어·온라인쇼핑·커피·편의점·영화) 월간 통합 할인한도 내 청구할인 제공. 다이소 멤버십 포인트 적립은 전월 실적 무관 제공,BC 참!좋은 다이소카드 회원,전월 이용실적 30만원 이상,주유·제세공과금·관리비·상품권·교통요금 등 실적 제외,상시,https://m.bccard.com/app/mobileweb/CardDetail.do?exec=cardDetail&cardGdsNo=756299,2026-05-15,대형마트·할인점·지하철역사·휴게소 입점매장 제외
68,다이소,쇼핑/생활,통신사,(상시 제휴 미게재),다이소 공식 페이지/통신사 멤버십 공식 페이지에 다이소 매장 상시 통신사 멤버십 할인 정식 등재 없음,?,?,?,상시,https://www.daiso.co.kr/cs/faq?cid=21,2026-05-15,?
69,이마트,쇼핑/생활,브랜드 자체 (신세계포인트),포인트 적립,"결제금액의 일정률 신세계포인트 적립 (이마트·트레이더스·에브리데이·노브랜드 전문점 통합). 1,000원 미만 미적립",신세계포인트 통합 회원,"1,000원 이상 결제",?,상시,https://www.shinsegae.com/service/membership/shinsegae-point.do,2026-05-15,적립 포인트는 신세계 상품권으로 교환 가능
70,이마트,쇼핑/생활,브랜드 자체 (이마트 앱),영수증 쿠폰 적립,이마트 행사상품 구매 후 영수증 하단 바코드 스캔/입력으로 신세계포인트 추가 적립,이마트 앱 회원,행사상품 한정,?,상시,https://emartapp.emart.com/spoint/couponSavingView.do,2026-05-15,
71,이마트,쇼핑/생활,쿠폰사/제휴 (빗썸),비트코인 리워드,이마트/트레이더스/에브리데이/노브랜드에서 신세계포인트 적립 시 결제금액의 1%를 비트코인(BTC)으로 지급,빗썸 회원 + 이마트 신세계포인트 제휴 등록,"월 최대 5,000원 상당 비트코인",영수증 추후적립 분 제외,상시,https://eapp.emart.com/spoint/memberCardView.do,2026-05-15,임대매장·문화센터·상품권샵·담배·배송료 등 제외
72,이마트,쇼핑/생활,쿠폰사/제휴 (삼성전자 멤버십),제휴 포인트 적립,이마트에서 삼성전자 상품 구입 + 신세계포인트 적립 시 구매금액의 0.1% 삼성전자 포인트 추가 적립,삼성전자 멤버십 회원,?,?,상시,https://eapp.emart.com/spoint/memberCardView.do,2026-05-15,임대매장·노브랜드·이마트24·온라인매장 제외
73,이마트,쇼핑/생활,통신사·카드사,(상시 제휴 미게재),이마트 공식 페이지/통신사 멤버십 공식 페이지에 이마트 매장(이마트24와 별개) 상시 통신사 멤버십 할인 정식 등재 없음,?,?,?,상시,https://www.shinsegae.com/service/membership/shinsegae-point.do,2026-05-15,이마트24는 SKT 우주패스 매직바코드 별도 운영 (이마트 본 매장과 다름)
74,홈플러스,쇼핑/생활,브랜드 자체 (마이홈플러스),멤버십 적립,마이홈플러스 멤버십 가입 시 최대 2% 포인트 적립 (마이홈플러스 신한카드 사용 시). 스마트 바코드 결제+쿠폰+홈플머니 통합 운영,마이홈플러스 회원,?,?,상시,https://my.homeplus.co.kr/membership_benefits,2026-05-15,
75,홈플러스,쇼핑/생활,카드사 (신한),제휴카드 적립 (체크),"마이 홈플러스 신한 체크카드: 홈플러스 결제 시 1.0% 적립 (1,000원당 10P), 홈플러스 외 결제 시 0.1% 적립",마이 홈플러스 신한 체크카드 회원,?,?,상시,https://my.homeplus.co.kr/membership_benefits,2026-05-15,
76,홈플러스,쇼핑/생활,카드사 (신한),제휴카드 적립 (신용),"마이 홈플러스 신한 신용카드: 홈플러스 결제 시 2.0% 적립 (1,000원당 20P), 홈플러스 외 결제 시 0.5% 적립. 추가 적립은 익월 25일 일괄 지급",마이 홈플러스 신한 신용카드 회원,?,잔돈할인과 중복 불가. 카드사 타 할인과 중복 불가,상시,https://www.shinhancard.com/pconts/html/card/apply/credit/1188375_2207.html,2026-05-15,2017-04-20 출시 이후 3년 이상 부가서비스 유지 보장
77,홈플러스,쇼핑/생활,통신사,(상시 제휴 미게재),홈플러스 공식 페이지/통신사 멤버십 공식 페이지에 홈플러스 매장 상시 통신사 멤버십 할인 정식 등재 없음,?,?,?,상시,https://my.homeplus.co.kr/membership_benefits,2026-05-15,?
78,롯데마트,쇼핑/생활,브랜드 자체 (L.POINT),포인트 적립,"기본 적립률 0.1% (1,000원 이상 적립). 1포인트=1원, 10P 이상 사용 가능. 1만 포인트 이상 롯데 상품권 교환 가능",L.POINT 정회원,"1,000원 미만 미적립",?,상시,https://m.lpoint.com/,2026-05-15,롯데 계열사+제휴 15만 가맹점 통합
79,롯데마트,쇼핑/생활,브랜드 자체 (L.POINT),등급별 추가 적립,실적에 따라 등급제 적용. 상위 등급 진입 시 기본 적립률 외 추가 적립률 제공,L.POINT 정회원,?,?,상시,https://m.lpoint.com/,2026-05-15,롯데마트 등급별 적립률은 공식 페이지에 구체 수치 미게재
